,Name,,,,,,,,
359,Sardar Patel University,,,,,,,,
360,Sardar Vallabh Bhai Patel University of Agriculture & Technology,,,,,,,,
361,Sarguja University,,,,,,,,
362,Satavahana University,,,,,,,,
363,Saurashtra University,,,,,,,,
364,Sher-e-Kashmir University of Agricultural Science & Technology,,,,,,,,
365,Shivaji University,,,,,,,,
366,Shree Sankaracharaya University of Sanskrit,,,,,,,,
367,Shree Somnath Sanskrit University,,,,,,,,
368,Shri Jagannath Sanskrit Vishwavidyalaya,,,,,,,,
369,Shri Mata Vaishno Devi University,,,,,,,,
370,Sri krishnadevaraya University,,,,,,,,
371,Sido Kanhu University,,,,,,,,
372,Smt. Nathibai Damodar Thackersey Women's University,,,,,,,,
373,Solapur University ,,,,,,,,
374,Veer Narmad South Gujarat University,,,,,,,,
375,Sri Padmavati Mahila Vishwavidyalayam,,,,,,,,
376,Sri Venkateswara University,,,,,,,,
377,Sri Venkateswara Vedic University,,,,,,,,
378,Sri Venkateswara Veterinary University,,,,,,,,
379,Swami Ramanand Teerth Marathwada University,,,,,,,,
380,T.M. Bhagalpur University,,,,,,,,
381,Tamil Nadu Open University,,,,,,,,
382,Tamil Nadu Teacher Education University,,,,,,,,
383,Tamil University,,,,,,,,
384,Tamilnadu Agricultural University,,,,,,,,
385,Tamilnadu Dr. Ambedkar Law University,,,,,,,,
386,Tamilnadu Dr. M.G.R.Medical University,,,,,,,,
387,Tamilnadu Physical Educaton and Sports University,,,,,,,,
388,Tamilnadu Veterinary & Animal Sciences University,,,,,,,,
389,Telangana University,,,,,,,,
390,The Rajiv Gandhi National University of Law,,,,,,,,
391,The Rashtrasant Tukadoji Maharaj Nagpur University,,,,,,,,
392,Thiruvalluvar University,,,,,,,,
393,Tumkur University,,,,,,,,
394,U.P.King George's University of Dental Sciences,,,,,,,,
395,U.P. Rajarshi Tandon Open University,,,,,,,,
396,University of Agricultural Sciences,,,,,,,,
397,University of Agricultural Sciences,,,,,,,,
398,University of Kota,,,,,,,,
399,Utkal University,,,,,,,,
400,Utkal University of Culture,,,,,,,,
401,Dr. A.P.J. Abdul Kalam Technical University,,,,,,,,
402,Uttarakhand Sanskrit University,,,,,,,,
403,Uttarakhand Technical University,,,,,,,,
404,Vardhman Mahaveer Open University,,,,,,,,
405,Veer Bahadur Singh Purvanchal University,,,,,,,,
406,Veer Kunwar Singh University,,,,,,,,
407,Veer Surendra Sai University of Technology,,,,,,,,
408,Vesveswaraiah Technological University,,,,,,,,
409,Vikrama Simhapuri University,,,,,,,,
410,Vikram University,,,,,,,,
411,Vinoba Bhave University,,,,,,,,
412,Yashwant Rao Chavan Maharashtra Open University,,,,,,,,
413,Yogi Vemana University ,,,,,,,,
414,Maharishi University of Management and Technology,,,,,,,,
415,Ahmedabad University ,,,,,,,,
416,AMITY University ,,,,,,,,
417,Chitkara University,,,,,,,,
418,Jaypee University of Information Technology,,,,,,,,
419,Eternal University,,,,,,,,
420,Shoolini University of Biotechnology and Management Sciences,,,,,,,,
421,Indus International Uniersity,,,,,,,,
422,Arni University,,,,,,,,
423,Manav Bharti University,,,,,,,,
424,Bahra University ,,,,,,,,
425,The Institute of Chartered Financial Analysts of India University,,,,,,,,
426,Jaypee University of Engineering & Technology,,,,,,,,
427,Martin Luther Christian University,,,,,,,,
428,Techno Global University,,,,,,,,
429,The Institute of Chartered Financial Analysts of India University,,,,,,,,
430,University of Science & Technology  Meghalaya,,,,,,,,
431,The Institute of Chartered Financial Analysts of India University,,,,,,,,
432,The Global Open University,,,,,,,,
433,ICFAI University,,,,,,,,
434,Lovely Professional University,,,,,,,,
435,Amity University ,,,,,,,,
436,Bhagwant University,,,,,,,,
437,Jagannath University,,,,,,,,
438,Jaipur National University,,,,,,,,
439,Jodhpur National University,,,,,,,,
440,Jayoti Vidyapeet Women's University,,,,,,,,
441,Mahatma Jyoti Rao Phoole University,,,,,,,,
442,Mewar University,,,,,,,,
443,NIMS University,,,,,,,,
444,Shri Jagdish Prasad Jhabarmal Tibrewala University,,,,,,,,
445,Sir Padmapat Singhania University,,,,,,,,
446,Singhania University,,,,,,,,
447,Suresh Gyan Vihar University,,,,,,,,
448,Shridhar University ,,,,,,,,
449,The Institute of Chartered Financial Analysts of India University,,,,,,,,
450,Sikkim Manipal University,,,,,,,,
451,Vinayaka Missions Sikkim University ,,,,,,,,
452,ICFAI University,,,,,,,,
453,AMITY University ,,,,,,,,
454,Jagadgura Rambhadracharya Handicapped University,,,,,,,,
455,Integral University ,,,,,,,,
456,Mangalayatan University,,,,,,,,
457,Mohammad Ali Jauhar University,,,,,,,,
458,Teerthanker Mahaveer University,,,,,,,,
459,Sharda University,,,,,,,,
460,Swami Vivekananda Subharti University,,,,,,,,
461,Dev Sanakrit Vishwavidyalaya,,,,,,,,
462,Himgiri Zee University,,,,,,,,
463,The ICFAI University,,,,,,,,
464,University of Petroleum and Energy Studies,,,,,,,,
465,University of Patanjali ,,,,,,,,
466,Punjab University,,,,,,,,
467,National Law University,,,,,,,,
468,Indraprastha Institute of Information Technology,,,,,,,,
469,Guru Gobind Singh Indraprastha Vishwavidyalaya,,,,,,,,
470,Delhi Technological University,,,,,,,,
471,Ambedkar University Delhi (AUD),,,,,,,,
472,West Bengal State University,,,,,,,,
473,Maulana Abul Kalam Azad University of Technology,,,,,,,,
474,West Bengal University of Animal and Fishery Sciences,,,,,,,,
475,Vidya Sagar University,,,,,,,,
476,Uttar Banga Krishi Vishwavidyalaya,,,,,,,,
477,The West Bengal University of Health Sciences,,,,,,,,
478,The West Bengal National University of Juridical Science,,,,,,,,
479,The Bengal Engineering & Science University,,,,,,,,
480,Patna University,,,,,,,,
481,National Law University,,,,,,,,
482,Arybhatta Knowledge University,,,,,,,,
483,Indian Institute of Technology (Roorkee),,,,,,,,
484,National Institute of Technology,,,,,,,,
485,National Institute of Technology,,,,,,,,
486,Malviya National Institute of Technology,,,,,,,,
487,Motilal Nehru National Institute of Technolgy,,,,,,,,
488,National Insitute of Technology,,,,,,,,
489,National Institute of Technology,,,,,,,,
490,National Institute of Technology,,,,,,,,
491,National Institute of Technology,,,,,,,,
492,National Institute of Technology Karnataka,,,,,,,,
493,National Institute of Technology,,,,,,,,
494,Visvesvaraya National  Institute of Technology,,,,,,,,
495,Maulana Azad National Institute of Technology,,,,,,,,
496,National Institute of Technology,,,,,,,,
497,Sardar Valabh Bhai National Institute  of Technology,,,,,,,,
498,National Institute of Technology,,,,,,,,
499,B.R.Ambedkar National Institute of Technology,,,,,,,,
500,National Institute of Technology,,,,,,,,
501,National Institute of Technology,,,,,,,,
502,National Institute of Technology,,,,,,,,
503,National Institute of Technology,,,,,,,,
504,Indian Institute of Technology,,,,,,,,
505,All India Institute of Medical Sciences,,,,,,,,
506,Indian Institute of Technology,,,,,,,,
507,Sree Chitra Tirunal Institute for Medical Sciences & Technology,,,,,,,,
508,Indian Institute of Technology,,,,,,,,
509,Dakshina Bharat Hindi Prachar Sabha,,,,,,,,
510,Indian Institute of Technology,,,,,,,,
511,Indian Institute of Technology,,,,,,,,
